Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
1,0,14.6074,-83.1739
1,1,14.5269,-83.1467
1,2,14.6441,-83.2165
1,3,14.6461,-83.2893
1,4,14.5151,-82.9949
1,5,14.5392,-83.2222
1,6,14.589,-83.09
1,7,14.6234,-83.1101
1,8,14.6259,-83.1953
1,9,14.532,-83.1844
2,0,14.5954,-83.1792
2,1,14.5204,-83.0537
2,2,14.5065,-82.9733
2,3,14.5757,-83.0734
2,4,14.5858,-83.0659
2,5,14.583,-82.9588
2,6,14.5435,-83.0687
2,7,14.599,-82.8821
2,8,14.5604,-82.9255
2,9,14.6041,-82.8115
3,0,14.5689,-82.9349
3,1,14.5011,-82.8738
3,2,14.6135,-83.0003
3,3,14.5511,-83.0042
3,4,14.6295,-82.9825
3,5,14.5808,-83.0817
3,6,14.6491,-83.1208
3,7,14.5731,-82.9726
3,8,14.5479,-82.9407
3,9,14.5995,-83.1412
4,0,14.5192,-82.9777
4,1,14.5859,-82.9205
4,2,14.6633,-82.9345
4,3,14.5815,-82.9145
4,4,14.5789,-82.8327
4,5,14.6754,-82.8436
4,6,14.6451,-82.9211
4,7,14.5675,-82.9638
4,8,14.5478,-82.8525
4,9,14.6407,-82.8796
5,0,14.6578,-83.0672
5,1,14.5484,-82.8547
5,2,14.5874,-82.9397
5,3,14.5486,-82.9442
5,4,14.6632,-83.0747
5,5,14.6638,-82.8597
5,6,14.6091,-82.7441
5,7,14.6412,-82.7704
5,8,14.6127,-82.8842
5,9,14.6033,-82.8523
6,0,14.5733,-82.9351
6,1,14.5375,-82.8858
6,2,14.6254,-82.692
6,3,14.5356,-82.9171
6,4,14.6686,-82.7979
6,5,14.5936,-83.0029
6,6,14.4288,-82.7269
6,7,14.5625,-82.9185
6,8,14.439,-82.9799
6,9,14.5066,-82.9434
7,0,14.5822,-82.8167
7,1,14.5146,-82.8126
7,2,14.5355,-82.8065
7,3,14.5762,-82.8361
7,4,14.5693,-82.694
7,5,14.579,-82.9272
7,6,14.4772,-82.9049
7,7,14.5363,-82.7918
7,8,14.6121,-82.9105
7,9,14.5447,-82.8597
8,0,14.5961,-82.8557
8,1,14.4085,-82.9523
8,2,14.4913,-82.8542
8,3,14.4631,-82.8659
8,4,14.4802,-82.5853
8,5,14.5314,-82.894
8,6,14.4728,-82.6356
8,7,14.5227,-82.8711
8,8,14.5051,-82.7834
8,9,14.5556,-82.7113
9,0,14.5434,-82.6838
9,1,14.5008,-82.7801
9,2,14.4801,-82.7615
9,3,14.4301,-82.8481
9,4,14.4449,-82.7037
9,5,14.5074,-82.7819
9,6,14.4914,-82.6326
9,7,14.5063,-82.6091
9,8,14.5457,-82.8038
9,9,14.4807,-82.6409
10,0,14.4862,-82.8856
10,1,14.503,-82.8128
10,2,14.4679,-82.834
10,3,14.4512,-82.8202
10,4,14.3708,-82.8406
10,5,14.4583,-82.9808
10,6,14.4327,-82.7792
10,7,14.4791,-82.7406
10,8,14.4146,-82.7943
10,9,14.5086,-82.8125
11,0,14.5176,-82.8947
11,1,14.4185,-82.6412
11,2,14.4762,-82.709
11,3,14.484,-82.8124
11,4,14.4382,-82.9104
11,5,14.4468,-82.8462
11,6,14.3561,-82.6573
11,7,14.3976,-82.7964
11,8,14.4127,-82.6931
11,9,14.4956,-82.7932
12,0,14.4937,-82.7818
12,1,14.3433,-82.7273
12,2,14.3473,-82.6325
12,3,14.4643,-82.8654
12,4,14.4621,-82.6549
12,5,14.4134,-82.7365
12,6,14.3708,-82.6839
12,7,14.4192,-82.5979
12,8,14.3272,-82.6388
12,9,14.4332,-82.527
13,0,14.4214,-82.7907
13,1,14.4679,-82.5338
13,2,14.3814,-82.7764
13,3,14.3381,-82.6324
13,4,14.305,-82.8106
13,5,14.5074,-82.5789
13,6,14.3379,-82.6943
13,7,14.38,-82.702
13,8,14.3899,-82.6618
13,9,14.3906,-82.9063
14,0,14.261,-82.499
14,1,14.3654,-82.7102
14,2,14.3876,-82.7899
14,3,14.3602,-82.6884
14,4,14.4157,-82.5669
14,5,14.3255,-82.5708
14,6,14.3468,-82.7441
14,7,14.3121,-82.685
14,8,14.3405,-82.6736
14,9,14.4119,-82.6189
15,0,14.3228,-82.6972
15,1,14.2891,-82.7052
15,2,14.3374,-82.6833
15,3,14.4039,-82.9501
15,4,14.3075,-82.6458
15,5,14.3561,-82.7921
15,6,14.2292,-82.7088
15,7,14.2456,-82.5116
15,8,14.3019,-82.7523
15,9,14.3108,-82.542
16,0,14.2557,-82.6332
16,1,14.257,-82.7486
16,2,14.301,-82.8108
16,3,14.2114,-82.7431
16,4,14.3069,-82.7767
16,5,14.3883,-82.6598
16,6,14.3094,-82.741
16,7,14.2267,-82.6418
16,8,14.2847,-82.6369
16,9,14.324,-82.7497
17,0,14.219,-82.6726
