Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
1,0,11.2087,-25.271
1,1,11.0945,-25.4686
1,2,11.2261,-25.4191
1,3,11.1505,-25.4423
1,4,11.2137,-25.3574
1,5,11.1201,-25.4719
1,6,11.1964,-25.268
1,7,11.1824,-25.2799
1,8,11.1472,-25.349
1,9,11.3007,-25.3839
2,0,11.2561,-25.3929
2,1,11.3701,-25.354
2,2,11.2401,-25.0779
2,3,11.473,-25.2482
2,4,11.3225,-25.4845
2,5,11.2844,-25.3607
2,6,11.3321,-25.1638
2,7,11.2395,-25.1525
2,8,11.4139,-25.1982
2,9,11.3212,-25.0729
3,0,11.3452,-25.1074
3,1,11.4586,-25.319
3,2,11.3951,-24.9364
3,3,11.4476,-25.24
3,4,11.5363,-25.0797
3,5,11.4743,-25.0265
3,6,11.3882,-24.9904
3,7,11.2409,-24.8526
3,8,11.538,-24.9387
3,9,11.4695,-24.9575
4,0,11.3741,-24.8653
4,1,11.5304,-24.9083
4,2,11.69,-25.0946
4,3,11.5859,-25.1109
4,4,11.582,-24.8212
4,5,11.5647,-24.8651
4,6,11.4236,-24.7463
4,7,11.8113,-25.1705
4,8,11.5833,-25.0132
4,9,11.4964,-24.7973
5,0,11.6658,-24.7566
5,1,11.5404,-24.5513
5,2,11.766,-24.7413
5,3,11.6434,-24.9303
5,4,11.7058,-24.96
5,5,11.6951,-24.8171
5,6,11.9058,-24.6354
5,7,11.5249,-24.4831
5,8,11.7382,-24.7225
5,9,11.6429,-24.6493
6,0,11.7636,-24.7722
6,1,11.7899,-24.7955
6,2,11.6095,-24.5977
6,3,11.7135,-24.6785
6,4,11.7001,-24.7651
6,5,11.8339,-24.8139
6,6,11.8103,-24.7819
6,7,11.8951,-24.691
6,8,11.6851,-24.3825
6,9,11.7114,-24.6722
7,0,11.7639,-24.5045
7,1,11.6468,-24.4993
7,2,11.7958,-24.2901
7,3,11.6137,-24.7084
7,4,11.8052,-24.3755
7,5,11.8861,-24.6649
7,6,11.5711,-24.172
7,7,11.6183,-24.3161
7,8,11.731,-24.34
7,9,11.7365,-24.4125
8,0,11.8343,-24.5175
8,1,11.7731,-24.5307
8,2,11.7327,-24.4323
8,3,11.8968,-24.5148
8,4,11.8529,-24.5091
8,5,11.7652,-24.3539
8,6,11.7768,-24.0568
8,7,11.8542,-24.0962
8,8,11.8695,-24.3428
8,9,11.8601,-24.5142
9,0,11.8968,-24.4069
9,1,11.9417,-24.2744
9,2,12.0426,-24.3687
9,3,11.8366,-24.356
9,4,11.9735,-24.3789
9,5,12.0406,-24.4224
9,6,11.9693,-23.9577
9,7,11.8616,-23.9611
9,8,12.0676,-24.2479
9,9,11.8481,-24.2263
10,0,11.9591,-24.2877
10,1,12.0365,-24.1722
10,2,12.0506,-24.4407
10,3,11.8738,-24.1617
10,4,11.9474,-24.3525
10,5,12,-24.417
10,6,12.2306,-24.4091
10,7,12.1716,-24.3774
10,8,12.0121,-24.3921
10,9,11.9946,-24.1715
11,0,12.0723,-24.3074
11,1,12.1172,-24.4328
11,2,11.9718,-24.3009
11,3,12.0955,-24.3871
11,4,12.0149,-24.2018
11,5,11.9117,-24.3105
11,6,12.0055,-24.0179
11,7,12.0304,-23.9659
11,8,11.9966,-24.1719
11,9,11.9974,-24.1993
12,0,12.1452,-24.0887
12,1,12.222,-24.1262
12,2,12.154,-24.2277
12,3,12.1664,-24.3326
12,4,12.1027,-24.0957
12,5,12.1143,-24.1656
12,6,12.0984,-23.9649
12,7,12.237,-24.4861
12,8,11.9536,-23.9183
12,9,12.1694,-24.2845
13,0,12.2554,-24.008
13,1,12.2506,-23.9914
13,2,12.2858,-24.089
13,3,12.2162,-24.06
13,4,12.2779,-24.0357
13,5,12.1554,-24.1718
13,6,12.1797,-23.7832
13,7,12.3235,-24.0901
13,8,12.2068,-24.0269
13,9,12.2549,-24.0289
