Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
1,0,-0.987227,-33.9524
1,1,-1.04351,-33.7696
1,2,-1.06041,-33.8783
1,3,-1.04841,-33.9271
1,4,-1.0046,-33.9492
1,5,-1.03915,-33.8839
1,6,-1.06865,-33.8506
1,7,-1.01053,-33.857
1,8,-1.0449,-33.8519
1,9,-1.00147,-33.84
2,0,-0.95526,-33.953
2,1,-1.07457,-34.0347
2,2,-0.796935,-34.1838
2,3,-1.0499,-33.8041
2,4,-0.928319,-33.8058
2,5,-0.983759,-33.8031
2,6,-1.04581,-33.994
2,7,-1.0456,-33.894
2,8,-1.10818,-34.0217
2,9,-1.08772,-33.733
3,0,-0.848561,-33.9933
3,1,-1.0222,-33.814
3,2,-0.975429,-33.7321
3,3,-1.02645,-33.8897
3,4,-0.897087,-33.8554
3,5,-1.03344,-33.8045
3,6,-1.05943,-33.7305
3,7,-0.912754,-33.7785
3,8,-1.04524,-33.7204
3,9,-0.951132,-33.7582
4,0,-0.912798,-33.8514
4,1,-0.83056,-33.9006
4,2,-1.0186,-33.6497
4,3,-0.834216,-33.7943
4,4,-0.976902,-33.7791
4,5,-0.855571,-33.7351
4,6,-0.92666,-34.0288
4,7,-0.906418,-33.6952
4,8,-0.840513,-33.6716
4,9,-1.00931,-33.631
5,0,-0.955754,-33.7954
5,1,-0.789743,-33.9041
5,2,-0.885199,-33.5548
5,3,-0.928528,-33.7601
5,4,-1.0356,-33.6638
5,5,-0.881944,-33.792
5,6,-0.891528,-33.8508
5,7,-0.795701,-33.8996
5,8,-0.846197,-33.6661
5,9,-0.860464,-33.6797
6,0,-0.926775,-33.8062
6,1,-0.736275,-33.9638
6,2,-0.743586,-33.7548
6,3,-1.01256,-33.6206
6,4,-0.774055,-33.6079
6,5,-0.776825,-33.7152
6,6,-0.930473,-33.6933
6,7,-0.810261,-33.7544
6,8,-0.727918,-33.6626
6,9,-0.952845,-33.5503
7,0,-0.854346,-33.605
7,1,-0.879153,-33.6218
7,2,-0.903038,-33.759
7,3,-0.960992,-33.5152
7,4,-0.781531,-33.5975
7,5,-0.816024,-33.6775
7,6,-0.860567,-33.6315
7,7,-0.777573,-33.6769
7,8,-0.851428,-33.5204
7,9,-0.787083,-33.5417
8,0,-0.833455,-33.7017
8,1,-0.735124,-33.4752
8,2,-0.812172,-33.5857
8,3,-0.845704,-33.7009
8,4,-0.785348,-33.4786
8,5,-0.873215,-33.4844
8,6,-0.865272,-33.5465
8,7,-0.8653,-33.5131
8,8,-0.781218,-33.6519
8,9,-0.813928,-33.6607
9,0,-0.764101,-33.4865
9,1,-0.767036,-33.791
