Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
1,0,15.3218,-29.5961
1,1,15.1903,-29.5495
1,2,15.3261,-29.2814
1,3,15.3724,-29.5164
1,4,15.3064,-29.3634
1,5,15.3978,-29.7175
1,6,15.388,-29.5503
1,7,15.3787,-29.2275
1,8,15.484,-29.604
1,9,15.4269,-29.5188
2,0,15.4501,-29.6832
2,1,15.4166,-29.5179
2,2,15.4483,-29.4565
2,3,15.498,-29.2504
2,4,15.4436,-29.3336
2,5,15.62,-29.5942
2,6,15.7543,-29.4799
2,7,15.5687,-29.5269
2,8,15.6649,-29.6625
2,9,15.7078,-29.4777
3,0,15.5171,-29.2446
3,1,15.5371,-29.6246
3,2,15.6367,-29.4391
3,3,15.5912,-29.6175
3,4,15.6794,-29.5532
3,5,15.7315,-29.4584
3,6,15.7861,-29.6977
3,7,15.7506,-29.5177
3,8,15.809,-29.5444
3,9,15.8229,-29.7365
4,0,15.8242,-29.5735
4,1,15.8596,-29.4978
4,2,15.8813,-29.753
4,3,16.0255,-29.4871
4,4,15.8321,-29.4597
4,5,15.9059,-29.406
4,6,15.9344,-29.4796
4,7,16.0161,-29.7668
4,8,15.9783,-29.6316
4,9,15.9035,-29.4896
5,0,16.0611,-29.3684
5,1,16.0441,-29.6748
5,2,16.171,-29.4558
5,3,15.9963,-29.325
5,4,16.0395,-29.6982
5,5,16.3,-29.3546
5,6,16.1913,-29.5451
5,7,16.1781,-29.4192
5,8,16.1228,-29.4209
5,9,16.1411,-29.4308
6,0,16.2261,-29.4681
6,1,16.3674,-29.7867
6,2,16.3901,-29.6468
6,3,16.4178,-29.6883
6,4,16.46,-29.6648
6,5,16.462,-29.5899
6,6,16.3975,-29.6166
6,7,16.4029,-29.651
6,8,16.3335,-29.4085
6,9,16.4871,-29.4582
7,0,16.5883,-29.3699
7,1,16.4313,-29.7429
7,2,16.6172,-29.518
7,3,16.7182,-29.8044
7,4,16.5515,-29.7714
7,5,16.6371,-29.6061
7,6,16.5567,-29.3598
7,7,16.6775,-29.5321
7,8,16.6221,-29.5436
7,9,16.6074,-29.623
8,0,16.6426,-29.3131
8,1,16.6355,-29.6459
8,2,16.6829,-29.3061
8,3,16.6443,-29.7782
8,4,16.8728,-29.6843
8,5,16.6948,-29.5192
8,6,16.7063,-29.4639
8,7,16.7361,-29.4342
8,8,16.6691,-29.4048
8,9,16.6418,-29.3165
9,0,16.7966,-29.438
9,1,16.7042,-29.5893
9,2,16.8581,-29.3974
9,3,16.8852,-29.5425
9,4,16.6221,-29.4418
9,5,16.722,-29.228
9,6,16.7289,-29.5904
9,7,16.7213,-29.4512
9,8,16.686,-29.383
9,9,16.767,-29.4003
10,0,16.66,-29.636
10,1,16.6578,-29.4489
10,2,16.704,-29.7131
10,3,16.5356,-29.2854
10,4,16.6397,-29.1848
10,5,16.7706,-29.5323
10,6,16.8164,-29.3935
10,7,16.6032,-29.6552
10,8,16.6381,-29.2386
10,9,16.8721,-29.4029
11,0,16.73,-29.5245
11,1,16.7555,-29.4232
11,2,16.4893,-29.3854
11,3,16.8617,-29.2632
11,4,16.6192,-29.5873
11,5,16.5387,-29.5679
11,6,16.6308,-29.5646
11,7,16.483,-29.548
11,8,16.6379,-29.5319
11,9,16.6175,-29.3923
12,0,16.6913,-29.4742
12,1,16.5438,-29.4936
12,2,16.5581,-29.4433
12,3,16.3362,-29.5391
12,4,16.5529,-29.4947
12,5,16.5661,-29.5635
12,6,16.7237,-29.4158
12,7,16.6327,-29.5806
12,8,16.5466,-29.5695
12,9,16.5561,-29.7298
13,0,16.6269,-29.7264
13,1,16.4496,-29.4146
13,2,16.5738,-29.4469
13,3,16.6009,-29.3174
13,4,16.6974,-29.371
13,5,16.4187,-29.3793
13,6,16.5417,-29.575
13,7,16.615,-29.4727
13,8,16.4872,-29.3792
13,9,16.6142,-29.5166
14,0,16.5862,-29.8365
14,1,16.4231,-29.5911
14,2,16.4449,-29.4746
14,3,16.5066,-29.5156
14,4,16.5776,-29.64
14,5,16.4001,-29.6272
14,6,16.4605,-29.7505
14,7,16.4065,-29.6166
14,8,16.2844,-29.4497
14,9,16.5547,-29.9889
15,0,16.3676,-29.7881
15,1,16.5085,-29.6516
15,2,16.3992,-29.8537
15,3,16.3215,-29.6489
15,4,16.3268,-29.9741
15,5,16.3959,-29.8137
15,6,16.3192,-29.8502
15,7,16.3243,-29.9097
15,8,16.3628,-29.8168
15,9,16.1943,-29.8557
16,0,16.3598,-29.9108
16,1,16.2012,-29.9714
16,2,16.4221,-29.8202
16,3,16.4427,-29.8986
16,4,16.3139,-29.9016
16,5,16.2535,-29.9011
16,6,16.2268,-29.7951
16,7,16.2755,-29.9471
16,8,16.2171,-29.9002
16,9,16.4702,-30.0173
17,0,16.2111,-29.8637
17,1,16.3216,-30.0225
17,2,16.2195,-29.9376
17,3,16.0832,-30.1861
17,4,16.2616,-30.0592
17,5,16.2181,-30.0082
17,6,16.2484,-29.9376
17,7,16.3738,-30.1341
17,8,16.3244,-30.1966
17,9,16.2856,-30.0803
18,0,16.1232,-29.9793
18,1,16.259,-30.3335
18,2,16.2137,-29.9209
18,3,16.4376,-30.2775
18,4,16.2634,-30.2111
18,5,16.2261,-29.9483
18,6,16.3491,-30.27
18,7,16.2434,-30.2303
18,8,16.2279,-30.3344
18,9,16.0853,-30.1813
19,0,16.2405,-30.055
19,1,16.199,-30.1535
19,2,16.2665,-30.4377
19,3,16.0568,-30.6766
19,4,16.1891,-30.3956
19,5,16.0862,-30.215
19,6,16.0697,-30.2352
19,7,16.0218,-30.4733
19,8,15.9642,-30.4663
19,9,16.136,-30.285
20,0,15.9509,-30.0775
20,1,16.0363,-30.3546
20,2,16.1127,-30.5368
20,3,15.8408,-30.1749
20,4,15.9044,-30.34
20,5,15.8443,-30.3085
20,6,15.7951,-30.4269
20,7,15.8544,-30.3419
20,8,16.0036,-30.8071
20,9,15.8818,-30.4208
21,0,15.8233,-30.593
21,1,15.8662,-30.2694
21,2,15.7819,-30.5366
21,3,15.8856,-30.7525
21,4,15.7945,-30.6118
21,5,15.8811,-30.5464
21,6,15.7695,-30.3665
21,7,15.6416,-30.4711
21,8,15.8162,-30.6827
21,9,15.678,-30.5325
22,0,15.8136,-30.5943
22,1,15.6787,-30.4956
22,2,15.7277,-31.0135
22,3,15.4792,-30.7479
22,4,15.6143,-30.5616
22,5,15.7029,-30.8278
22,6,15.6454,-30.6527
22,7,15.7642,-30.8082
22,8,15.6633,-30.6543
22,9,15.7322,-30.6058
23,0,15.7376,-30.9684
23,1,15.7806,-30.8197
23,2,15.6542,-30.8311
23,3,15.5138,-30.588
23,4,15.6098,-31.1465
23,5,15.6601,-30.8597
23,6,15.7177,-30.8254
23,7,15.668,-30.8798
23,8,15.7074,-30.9679
23,9,15.6014,-30.9401
24,0,15.5425,-30.9089
24,1,15.7323,-31.1396
24,2,15.6186,-30.8032
24,3,15.5713,-30.7475
24,4,15.6713,-30.921
24,5,15.7312,-30.9773
24,6,15.6083,-30.9261
24,7,15.671,-31.1104
24,8,15.7578,-31.273
24,9,15.5094,-31.0499
25,0,15.6624,-31.3233
25,1,15.6395,-30.8895
25,2,15.5899,-31.233
25,3,15.6563,-31.2111
25,4,15.6549,-31.378
25,5,15.6466,-31.1507
25,6,15.7954,-31.2631
25,7,15.6649,-31.3052
25,8,15.8941,-31.4503
25,9,15.6619,-31.2229
26,0,15.74,-31.2917
26,1,15.7688,-31.2933
26,2,15.6721,-31.2918
26,3,15.5915,-31.4413
26,4,15.8151,-31.3618
26,5,15.6282,-31.2218
26,6,15.6277,-31.426
26,7,15.7269,-31.439
26,8,15.8057,-31.5643
26,9,15.8392,-31.4526
