Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
1,0,-9.53478,-46.0301
1,1,-9.63815,-45.745
1,2,-9.59269,-45.6727
1,3,-9.5818,-45.8578
1,4,-9.55235,-45.7173
1,5,-9.5765,-45.7996
1,6,-9.58123,-45.8329
1,7,-9.4888,-45.7819
1,8,-9.67952,-45.7687
1,9,-9.58326,-45.672
2,0,-9.60946,-45.6051
2,1,-9.52107,-45.7086
2,2,-9.52008,-45.6167
2,3,-9.5153,-45.6719
2,4,-9.55869,-45.5451
2,5,-9.45275,-45.3584
2,6,-9.51141,-45.6909
2,7,-9.5201,-45.4733
2,8,-9.52286,-45.4949
2,9,-9.64545,-45.5486
3,0,-9.62145,-45.6424
3,1,-9.564,-45.4896
3,2,-9.56682,-45.4906
3,3,-9.52123,-45.5056
3,4,-9.50831,-45.6631
3,5,-9.43019,-45.4834
3,6,-9.563,-45.5553
3,7,-9.48927,-45.3683
3,8,-9.5096,-45.3898
3,9,-9.47355,-45.5693
4,0,-9.54204,-45.4553
4,1,-9.51707,-45.2925
4,2,-9.5779,-45.388
4,3,-9.46423,-45.4117
4,4,-9.56889,-45.3683
4,5,-9.48291,-45.3342
4,6,-9.466,-45.4257
4,7,-9.52824,-45.4604
4,8,-9.5225,-45.3094
4,9,-9.41029,-45.4397
5,0,-9.51679,-45.3672
5,1,-9.5489,-45.428
5,2,-9.38188,-45.3701
5,3,-9.48763,-45.2217
5,4,-9.46193,-45.2596
5,5,-9.42168,-45.2617
5,6,-9.47423,-45.1325
5,7,-9.44363,-45.0184
5,8,-9.53611,-45.2426
5,9,-9.33513,-44.9977
6,0,-9.46376,-45.1119
6,1,-9.41549,-45.1601
6,2,-9.45064,-45.1444
6,3,-9.4816,-45.0648
6,4,-9.3941,-45.2568
6,5,-9.50258,-45.0531
6,6,-9.43541,-45.0882
6,7,-9.4408,-44.9938
6,8,-9.48357,-45.0719
6,9,-9.44739,-45.0488
7,0,-9.41362,-44.9823
7,1,-9.4885,-45.1263
7,2,-9.4428,-45.2251
7,3,-9.42887,-45.034
7,4,-9.40623,-44.9814
7,5,-9.449,-44.9476
7,6,-9.46261,-45.192
7,7,-9.46229,-44.9404
7,8,-9.38731,-44.8899
7,9,-9.40272,-44.9817
8,0,-9.33275,-45.0501
8,1,-9.41922,-44.7952
8,2,-9.48787,-44.7608
8,3,-9.31757,-44.8551
8,4,-9.40532,-44.8288
8,5,-9.30936,-44.8529
8,6,-9.43329,-44.7135
8,7,-9.30762,-44.8539
8,8,-9.41922,-44.7399
8,9,-9.41824,-44.6351
9,0,-9.50451,-44.8391
9,1,-9.49127,-44.6985
9,2,-9.38714,-44.7055
9,3,-9.35155,-44.7735
9,4,-9.41716,-44.7132
9,5,-9.30997,-44.6593
9,6,-9.42132,-44.7379
9,7,-9.49584,-44.6766
9,8,-9.42021,-44.4681
9,9,-9.39876,-44.4357
10,0,-9.41167,-44.5983
10,1,-9.30979,-44.7678
10,2,-9.36366,-44.7379
10,3,-9.40272,-44.4841
10,4,-9.41122,-44.3897
10,5,-9.46215,-44.3886
10,6,-9.37469,-44.7354
10,7,-9.33123,-44.5187
10,8,-9.3655,-44.3759
10,9,-9.30363,-44.4564
11,0,-9.40716,-44.4001
11,1,-9.37875,-44.4138
11,2,-9.29634,-44.4461
11,3,-9.37856,-44.4911
11,4,-9.27206,-44.3988
11,5,-9.29977,-44.4531
11,6,-9.35051,-44.2687
11,7,-9.30399,-44.3297
11,8,-9.26728,-44.2443
11,9,-9.37009,-44.2458
12,0,-9.45084,-44.1982
12,1,-9.29215,-44.3678
12,2,-9.26918,-44.2283
12,3,-9.25788,-44.1948
