Devices
1000
,,Plate force 1 - Moment,,
Frame,Sub Frame,Mx,My
,,N.mm,N.mm
1,0,5195.28,928.628
1,1,5189.26,915.482
1,2,5183.98,903.916
1,3,5206.78,903.462
1,4,5203.57,928.518
1,5,5184.55,922.821
1,6,5182.86,902.368
1,7,5170.8,920.6
1,8,5211.87,913.823
1,9,5184.17,922.712
2,0,5194.54,915.341
2,1,5203.96,912.43
2,2,5209.99,919.926
2,3,5207.16,929.379
2,4,5200.38,923.354
2,5,5202.07,924.45
2,6,5195.67,928.659
2,7,5207.35,906.999
2,8,5237.49,924.403
2,9,5216.58,927.313
3,0,5209.99,940.757
3,1,5227.14,922.336
3,2,5240.51,911.71
3,3,5221.86,935.107
3,4,5215.08,920.49
3,5,5253.88,931.68
3,6,5239.19,929.191
3,7,5225.44,928.065
3,8,5233.73,912.649
3,9,5245.78,934.575
4,0,5247.11,931.414
4,1,5278.75,922.525
4,2,5256.71,939.441
4,3,5244.85,936.875
4,4,5261.61,926.782
4,5,5283.83,927.908
4,6,5270.66,920.944
4,7,5267.64,927.909
4,8,5246.17,922.336
4,9,5276.87,943.199
5,0,5260.86,923.088
5,1,5276.68,923.166
5,2,5273.67,923.996
5,3,5277.06,937.893
5,4,5294.96,925.874
5,5,5278.2,931.038
5,6,5270.09,928.095
5,7,5288.36,923.541
5,8,5294.01,927.563
5,9,5278.57,923.541
6,0,5299.86,931.977
6,1,5297.79,929.16
6,2,5291.19,938.315
6,3,5288.18,915.857
6,4,5285.35,921.288
6,5,5286.29,931.226
6,6,5319.64,916.797
6,7,5303.43,920.224
6,8,5316.62,906.249
6,9,5319.64,929.567
7,0,5307.4,906.656
7,1,5318.14,930.443
7,2,5338.86,920.865
7,3,5305.32,900.489
7,4,5327.73,917.171
7,5,5327.94,914.997
7,6,5328.3,930.318
7,7,5331.13,910.239
7,8,5335.08,919.253
7,9,5316.24,900.254
8,0,5332.83,927.235
8,1,5343.57,918.002
8,2,5339.8,913.369
8,3,5353.36,902.899
8,4,5355.25,918.643
8,5,5378.8,917.36
8,6,5354.12,916.342
8,7,5354.87,896.232
8,8,5356.56,916.609
8,9,5368.43,920.568
9,0,5383.69,914.01
9,1,5397.83,909.754
9,2,5383.88,896.342
9,3,5372.59,911.788
9,4,5377.67,908.36
9,5,5381.06,910.474
9,6,5378.62,922.9
9,7,5408.57,904.777
9,8,5363.54,891.099
9,9,5398.39,910.614
10,0,5437.96,914.652
10,1,5413.28,878.594
10,2,5389.36,897.625
10,3,5417.99,916.576
10,4,5390.86,903.416
10,5,5408.01,899.206
10,6,5399.34,910.99
10,7,5408.4,901.991
10,8,5420.07,908.581
10,9,5430.24,908.658
11,0,5384.27,933.449
11,1,5427.42,898.032
11,2,5418.01,895.387
11,3,5466.98,919.317
11,4,5444,912.117
11,5,5444,910.27
11,6,5428.55,901.115
11,7,5424.79,910.724
11,8,5450.4,904.166
11,9,5446.64,912.336
12,0,5447.58,902.398
12,1,5451.54,915.7
12,2,5438.73,920.631
12,3,5453.04,903.744
12,4,5444.94,914.074
12,5,5457,907.062
12,6,5436.47,914.371
12,7,5437.78,904.84
12,8,5460.01,911.694
12,9,5480.36,898.47
13,0,5477.53,915.091
13,1,5477.16,916.436
13,2,5478.48,911.695
13,3,5460.77,914.715
13,4,5461.7,900.88
13,5,5472.26,912.445
13,6,5462.09,899.863
13,7,5479.42,893.119
13,8,5463.59,908.564
13,9,5486.76,904.12
14,0,5481.11,901.257
14,1,5469.07,891.35
14,2,5471.51,906.906
14,3,5486.96,900.239
14,4,5493.36,902.539
14,5,5486.2,901.741
14,6,5495.62,887.39
14,7,5476.97,899.034
14,8,5482.81,897.297
14,9,5481.12,896.765
15,0,5481.68,899.784
15,1,5527.46,898.017
15,2,5492.42,895.747
15,3,5497.89,905.325
15,4,5504.85,889.909
15,5,5495.06,900.083
15,6,5485.64,873.148
15,7,5493.93,893.822
15,8,5468.68,894.808
15,9,5489.22,882.789
16,0,5527.07,903.588
16,1,5483.56,894.621
16,2,5500.33,897.484
16,3,5542.72,898.314
16,4,5484.89,882.413
16,5,5508.43,874.729
16,6,5504.48,893.228
16,7,5520.11,899.284
16,8,5512.58,890.958
16,9,5518.42,891.411
17,0,5536.12,878.204
17,1,5522.74,898.611
17,2,5509,873.9
17,3,5543.28,895.56
17,4,5526.71,883.055
17,5,5529.71,881.208
17,6,5520.12,886.779
17,7,5558.36,874.463
17,8,5531.79,886.78
17,9,5535.56,888.22
18,0,5527.84,867.906
18,1,5512.59,866.889
18,2,5511.82,889.002
18,3,5529.91,881.396
18,4,5529.34,887.609
18,5,5551.77,877.061
18,6,5544.04,869.642
18,7,5549.5,882.068
18,8,5571.73,888.063
18,9,5525.39,875.966
19,0,5542.54,861.427
19,1,5557.04,870.691
19,2,5548.37,868.36
19,3,5559.11,875.403
19,4,5583.79,884.525
19,5,5580.4,876.451
19,6,5570.04,858.641
19,7,5557.04,876.764
19,8,5586.43,864.588
19,9,5593.96,885.387
20,0,5557.42,863.915
20,1,5584.55,862.663
20,2,5616.57,875.7
20,3,5566.27,847.936
20,4,5600.75,854.415
20,5,5594.53,867.827
20,6,5599.43,872.569
20,7,5599.99,851.473
20,8,5611.29,870.692
20,9,5591.14,864.775
21,0,5612.99,852.194
21,1,5638.99,850.158
21,2,5641.43,857.014
21,3,5616.39,843.758
21,4,5639.74,844.963
21,5,5612.62,833.617
21,6,5630.14,844.055
21,7,5619.21,842.24
21,8,5655.19,837.34
21,9,5628.06,845.855
22,0,5640.49,826.652
22,1,5645.59,837.153
22,2,5635.04,851.473
22,3,5674.22,826.793
22,4,5672.15,823.287
22,5,5659.71,828.75
22,6,5675.73,835.118
22,7,5657.27,822.536
22,8,5680.82,839.031
22,9,5684.96,814.508
23,0,5678.56,827.278
23,1,5708.32,820.157
23,2,5681.57,804.023
23,3,5698.72,806.636
23,4,5697.58,796.416
23,5,5684.02,801.393
23,6,5682.13,800.641
23,7,5707.57,797.809
23,8,5714.73,805.994
23,9,5694.57,789.749
24,0,5723.59,775.664
24,1,5722.26,803.646
24,2,5720.19,778.184
24,3,5727.35,789.859
24,4,5713.03,788.732
24,5,5739.41,781.72
24,6,5734.7,777.762
24,7,5746.19,771.204
24,8,5718.87,754.662
24,9,5737.9,765.962
25,0,5703.62,744.458
25,1,5717.37,754.85
25,2,5726.03,758.622
25,3,5721.51,753.676
25,4,5755.8,768.668
25,5,5729.23,749.685
25,6,5753.92,739.058
25,7,5769.17,741.359
25,8,5746.56,747.307
25,9,5762.96,715.395
26,0,5772.94,746.477
26,1,5749.77,721.688
26,2,5740.73,695.536
26,3,5773.89,735.584
26,4,5766.35,715.991
26,5,5770.68,712.298
26,6,5767.48,705.333
26,7,5763.15,722.502
26,8,5789.15,699.183
26,9,5791.78,713.158
27,0,5739.6,696.053
27,1,5767.67,695.677
27,2,5751.28,683.925
27,3,5772.39,686.554
27,4,5800.82,682.483
27,5,5781.42,677.242
27,6,5810.81,673.971
27,7,5799.31,675.927
27,8,5804.21,666.959
27,9,5776.15,667.821
28,0,5766.92,650.307
28,1,5778.4,659.228
28,2,5779.73,645.143
28,3,5783.87,650.448
28,4,5798,657.194
28,5,5797.62,655.8
28,6,5775.2,649.994
28,7,5804.59,634.282
28,8,5795.36,630.777
28,9,5821.92,625.127
29,0,5814,631.528
29,1,5828.71,615.518
29,2,5811,626.896
29,3,5804.03,623.014
29,4,5809.11,615.064
29,5,5829.65,611.449
29,6,5800.44,613.405
29,7,5812.31,613.78
29,8,5810.43,609.822
29,9,5821.55,585.594
30,0,5817.39,591.401
30,1,5813.64,599.538
30,2,5823.62,587.817
30,3,5808.92,589.554
30,4,5830.59,584.123
30,5,5842.27,574.061
30,6,5827.38,574.515
30,7,5806.47,561.024
30,8,5826.26,570.336
30,9,5816.65,563.246
31,0,5787.83,538.081
31,1,5829.46,564.905
31,2,5839.63,556.047
31,3,5839.26,532.916
31,4,5865.06,548.473
31,5,5838.12,534.685
31,6,5829.27,537.846
31,7,5849.8,536.641
31,8,5822.87,542.964
31,9,5841.52,543.042
32,0,5840.58,527.408
32,1,5858.48,530.194
32,2,5835.68,519.426
32,3,5825.88,519.833
32,4,5856.77,520.365
32,5,5877.68,530.757
32,6,5843.96,527.784
32,7,5820.23,514.559
32,8,5833.42,509.583
32,9,5865.63,523.745
33,0,5850.75,527.736
33,1,5861.11,513.542
33,2,5869.21,519.942
33,3,5860.92,507.36
33,4,5888.42,507.141
33,5,5860.93,513.385
33,6,5858.29,491.569
33,7,5854.89,501.789
33,8,5860.55,500.427
33,9,5869.4,485.434
34,0,5873.17,507.893
34,1,5845.1,483.478
34,2,5873.18,492.477
34,3,5891.82,482.382
34,4,5888.05,495.075
34,5,5871.86,508.486
34,6,5912.55,495.904
34,7,5897.28,489.801
34,8,5897.66,482.492
34,9,5888.43,496.389
35,0,5897.1,494.777
35,1,5883.92,475.527
35,2,5891.07,482.539
35,3,5920.27,484.526
35,4,5908.41,484.902
35,5,5914.25,478.125
35,6,5912.74,493.416
35,7,5907.27,469.69
35,8,5952.87,474.541
35,9,5937.04,477.781
36,0,5938.36,490.818
36,1,5936.66,476.576
36,2,5950.6,472.132
36,3,5928,474.886
36,4,5938.74,452.882
36,5,5957.96,451.943
36,6,5939.49,455.481
36,7,5951.36,476.577
36,8,5965.11,464.291
36,9,5985.28,464.824
37,0,5992.62,479.174
37,1,5986.78,458.282
37,2,5976.98,468.892
37,3,5978.31,463.243
37,4,5982.64,462.037
37,5,5989.8,455.293
37,6,5970.77,459.033
37,7,5980,446.779
37,8,6005.25,444.791
37,9,5992.05,457.139
38,0,6008.27,457.405
38,1,6002.04,454.056
38,2,6002.99,432.96
38,3,5990.74,456.2
38,4,5993.19,436.089
38,5,6019.56,457.859
38,6,6011.46,441.693
38,7,6037.28,447.577
38,8,6034.07,458.234
38,9,6032.94,453.226
39,0,6038.97,442.115
39,1,6044.81,452.585
39,2,6024.65,455.903
39,3,6045.75,440.644
39,4,6033.89,451.834
39,5,6057.63,463.399
39,6,6028.23,459.44
39,7,6035.77,429.939
39,8,6084.37,442.225
39,9,6071.94,435.589
40,0,6085.88,438.202
40,1,6063.09,445.73
40,2,6066.67,439.893
40,3,6065.15,444.823
40,4,6094.93,447.764
40,5,6096.63,442.866
40,6,6095.48,447.608
40,7,6081.17,434.619
40,8,6068.36,444.823
40,9,6091.54,437.889
41,0,6102.46,443.539
41,1,6082.49,445.574
41,2,6077.03,443.054
41,3,6099.64,445.089
