Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
1,0,11.7237,-19.9758
1,1,11.7177,-19.896
1,2,11.8614,-20.0177
1,3,11.7775,-20.2542
1,4,11.7116,-20.0777
1,5,11.7268,-20.1292
1,6,11.7326,-20.212
1,7,11.7409,-19.9633
1,8,11.6633,-19.8849
1,9,11.6514,-19.9309
2,0,11.5974,-20.2542
2,1,11.7341,-20.1014
2,2,11.7623,-20.4345
2,3,11.7402,-20.3256
2,4,11.569,-20.175
2,5,11.6612,-20.262
2,6,11.7166,-20.293
2,7,11.6809,-20.316
2,8,11.5541,-20.1406
2,9,11.6315,-20.2341
3,0,11.7646,-20.1998
3,1,11.7093,-20.1534
3,2,11.7828,-20.348
3,3,11.6632,-20.226
3,4,11.6726,-20.2042
3,5,11.6889,-20.3936
3,6,11.7332,-20.3892
3,7,11.598,-20.1201
3,8,11.7647,-20.2905
3,9,11.7561,-20.2396
4,0,11.5969,-20.1709
4,1,11.7075,-20.2555
4,2,11.6502,-20.4353
4,3,11.6942,-20.1828
4,4,11.6527,-20.1669
4,5,11.8045,-20.0657
4,6,11.7048,-20.2912
4,7,11.7397,-20.3138
4,8,11.7242,-20.3772
4,9,11.6796,-20.1949
5,0,11.5887,-20.3438
5,1,11.5838,-20.3914
5,2,11.6412,-20.2487
5,3,11.6506,-20.3879
5,4,11.6889,-20.4033
5,5,11.6129,-20.3683
5,6,11.6966,-20.2803
5,7,11.5838,-20.3245
5,8,11.6647,-20.358
5,9,11.6793,-20.2681
6,0,11.5194,-20.3115
6,1,11.61,-20.3972
6,2,11.7145,-20.1729
6,3,11.5778,-20.3451
6,4,11.7522,-20.4804
6,5,11.5948,-20.3294
6,6,11.5439,-20.457
6,7,11.5619,-20.3685
6,8,11.5768,-20.3227
6,9,11.5258,-20.3653
7,0,11.6216,-20.5568
7,1,11.5772,-20.4524
7,2,11.6405,-20.2008
7,3,11.6536,-20.5
7,4,11.601,-20.436
7,5,11.6533,-20.1765
7,6,11.5936,-20.309
7,7,11.7091,-20.4068
7,8,11.5495,-20.3574
7,9,11.5591,-20.2558
8,0,11.735,-20.4093
8,1,11.5311,-20.398
8,2,11.7287,-20.4071
8,3,11.5748,-20.3956
8,4,11.622,-20.416
8,5,11.6086,-20.4727
8,6,11.6767,-20.2446
8,7,11.6167,-20.2277
8,8,11.6465,-20.2131
8,9,11.6911,-20.3762
9,0,11.4983,-20.2154
9,1,11.6624,-20.4715
9,2,11.5378,-20.1451
9,3,11.6066,-20.2086
9,4,11.6568,-20.3592
9,5,11.5875,-20.3342
9,6,11.6121,-20.2809
9,7,11.5469,-20.1403
9,8,11.6691,-20.2893
9,9,11.6213,-20.1214
10,0,11.4926,-20.2944
10,1,11.5457,-20.3155
10,2,11.5687,-20.351
10,3,11.5345,-20.0208
10,4,11.6093,-20.0964
10,5,11.6151,-20.108
10,6,11.5322,-20.2977
10,7,11.6298,-20.2805
10,8,11.557,-20.2333
10,9,11.4901,-20.088
11,0,11.5201,-20.2579
11,1,11.4524,-19.9737
11,2,11.6096,-20.145
11,3,11.561,-19.9811
11,4,11.5101,-20.1105
11,5,11.4409,-19.8273
11,6,11.5649,-19.968
11,7,11.5036,-19.935
11,8,11.3859,-19.7892
11,9,11.4576,-19.9782
12,0,11.3483,-19.9531
12,1,11.4386,-20.0994
12,2,11.4422,-19.8781
12,3,11.309,-19.8422
12,4,11.3849,-20.0345
12,5,11.3343,-19.9011
12,6,11.319,-20.0028
12,7,11.3787,-19.9842
12,8,11.2881,-19.838
12,9,11.2549,-19.9741
13,0,11.3432,-19.9452
13,1,11.272,-19.952
13,2,11.2878,-19.9013
13,3,11.3344,-19.8058
13,4,11.2664,-19.6906
13,5,11.2521,-20.0317
13,6,11.226,-19.9958
13,7,11.2105,-19.8959
13,8,11.0668,-19.8993
13,9,11.2589,-19.9186
14,0,11.2379,-19.6191
14,1,11.0921,-19.8499
14,2,11.0501,-19.9097
14,3,11.0856,-19.8426
14,4,11.1674,-19.7236
14,5,11.0449,-19.7776
14,6,11.1034,-19.6866
14,7,11.0124,-19.5707
14,8,10.9537,-19.7518
14,9,10.8911,-19.6662
15,0,11.0398,-19.8668
15,1,11.0089,-19.708
15,2,10.9198,-19.8089
15,3,10.8469,-19.6003
15,4,10.9201,-19.7067
15,5,10.919,-19.7402
15,6,10.8719,-19.6726
15,7,10.8692,-19.5568
15,8,10.7153,-19.5067
15,9,10.8105,-19.6883
16,0,10.8366,-19.4848
16,1,10.7543,-19.5187
16,2,10.7775,-19.6417
16,3,10.7516,-19.5485
16,4,10.7217,-19.5955
16,5,10.7425,-19.4394
16,6,10.7166,-19.471
16,7,10.6888,-19.5807
16,8,10.5923,-19.4717
16,9,10.613,-19.6572
17,0,10.5148,-19.6379
17,1,10.6272,-19.4768
17,2,10.6936,-19.5159
17,3,10.6396,-19.398
17,4,10.514,-19.3301
17,5,10.568,-19.5476
17,6,10.4043,-19.2354
17,7,10.4657,-19.4441
17,8,10.4148,-19.2459
17,9,10.3816,-19.4044
18,0,10.4758,-19.4418
18,1,10.3868,-19.4144
18,2,10.3788,-19.3979
18,3,10.448,-19.5286
18,4,10.2616,-19.4638
18,5,10.2599,-19.4191
18,6,10.3337,-19.5028
18,7,10.2217,-19.4431
18,8,10.2299,-19.3819
18,9,10.181,-19.4076
19,0,10.2083,-19.4403
19,1,10.0815,-19.4431
19,2,10.2594,-19.6089
19,3,10.0175,-19.4323
19,4,10.0888,-19.6301
19,5,10.0137,-19.5008
19,6,10.0353,-19.4809
19,7,10.1045,-19.5501
19,8,10.072,-19.6008
19,9,9.87949,-19.5356
20,0,9.9057,-19.4978
20,1,10.0019,-19.5421
20,2,9.91925,-19.7163
20,3,9.88657,-19.4613
20,4,9.83974,-19.6079
20,5,9.92332,-19.6692
20,6,9.79436,-19.5399
20,7,9.83642,-19.5074
20,8,9.87517,-19.6714
20,9,9.67914,-19.5809
21,0,9.66022,-19.6668
21,1,9.79844,-19.4589
21,2,9.66504,-19.5403
21,3,9.67737,-19.5088
21,4,9.6558,-19.5558
21,5,9.67717,-19.7398
21,6,9.57375,-19.5703
21,7,9.58715,-19.7061
21,8,9.67502,-19.6084
21,9,9.55713,-19.4891
22,0,9.56796,-19.4733
22,1,9.47616,-19.8147
22,2,9.52843,-19.6194
22,3,9.54472,-19.6014
22,4,9.48736,-19.5646
22,5,9.44655,-19.6938
22,6,9.39054,-19.6706
22,7,9.47009,-19.5654
22,8,9.453,-19.687
22,9,9.37519,-19.6136
23,0,9.46212,-19.6958
23,1,9.40303,-19.6135
23,2,9.37682,-19.5442
23,3,9.35974,-19.739
23,4,9.36792,-19.817
23,5,9.39518,-19.678
23,6,9.43037,-19.7335
23,7,9.30727,-19.542
23,8,9.24048,-19.6095
23,9,9.34407,-19.5776
24,0,9.17094,-19.5475
24,1,9.30633,-19.6215
24,2,9.24294,-19.8591
24,3,9.25875,-19.6703
24,4,9.23249,-19.7115
24,5,9.26163,-19.6483
24,6,9.33698,-19.6798
24,7,9.22183,-19.8344
24,8,9.25006,-19.8895
24,9,9.16979,-19.6551
25,0,9.18848,-19.5756
25,1,9.17462,-19.8187
25,2,9.09823,-19.6694
25,3,9.35389,-19.7916
25,4,9.2147,-19.8158
25,5,9.21626,-19.7233
25,6,9.16961,-19.7654
25,7,9.11345,-19.7364
25,8,9.1787,-19.841
25,9,9.21825,-19.8362
26,0,9.18378,-19.8471
26,1,9.19376,-19.743
26,2,9.29727,-19.9231
26,3,9.20335,-19.8591
26,4,9.28628,-19.8165
26,5,9.06409,-19.9659
26,6,9.1971,-20.0086
26,7,9.1382,-19.9172
26,8,9.22893,-20.0358
26,9,9.25562,-20.0607
27,0,9.11376,-20.03
27,1,9.1316,-20.1142
27,2,9.17996,-19.987
27,3,9.07768,-20.1554
27,4,9.15426,-20.2864
27,5,9.05729,-20.1465
27,6,9.09601,-20.0533
27,7,9.00147,-20.1792
27,8,9.20137,-20.282
27,9,8.97186,-20.4326
28,0,9.06745,-20.4001
28,1,9.00738,-20.3603
28,2,9.07912,-20.3571
28,3,9.08504,-20.5274
28,4,9.10825,-20.4749
28,5,9.03836,-20.3959
28,6,9.06518,-20.3444
28,7,9.06187,-20.524
28,8,8.95801,-20.4004
28,9,9.0717,-20.4511
29,0,9.08046,-20.3159
29,1,8.94934,-20.415
29,2,9.06747,-20.7209
29,3,9.01849,-20.7297
29,4,9.07631,-20.6443
29,5,9.11197,-20.8007
29,6,9.11197,-20.8142
29,7,8.9733,-20.8277
29,8,9.10375,-20.7526
29,9,8.90547,-20.6898
30,0,8.96031,-20.6067
30,1,8.98018,-20.7918
30,2,8.98837,-20.853
30,3,9.03999,-20.954
30,4,8.85432,-20.7319
30,5,8.98284,-20.8199
30,6,9.01165,-20.9692
30,7,8.8295,-20.9514
30,8,9.01952,-21.0793
30,9,8.9238,-20.8808
31,0,8.9147,-21.1002
31,1,9.03046,-21.049
31,2,8.88155,-21.132
31,3,8.91605,-20.9066
31,4,9.02839,-21.0926
31,5,8.81242,-21.1157
